"date","actual","predicted","naive"
"2023-41",51.4,50.4219741821289,34.8333333333333
"2023-42",39.8,50.6931457519531,42.0333333333333
"2023-43",46.4166666666667,61.7341156005859,40.25
"2023-44",46.85,39.5478553771973,29.9833333333333
"2023-45",35.55,37.494441986084,32.5
"2023-46",23.35,32.9260597229004,19.4
"2023-47",27.3,31.129566192627,21.5333333333333
"2023-48",31,28.1275901794434,30.1666666666667
"2023-49",31.5,20.543909072876,41.8
"2023-50",24.3166666666667,21.7279014587402,37.3333333333333
"2023-51",17.0166666666667,19.9405250549316,40.1333333333333
"2023-52",17.0166666666667,20.4183502197266,37.8857142857143
"2024-01",21.1375,20.5814819335938,30.3333333333333
"2024-02",20.7666666666667,14.235276222229,23.9166666666667
"2024-03",23.9333333333333,21.5802040100098,15.4
"2024-04",23.3,17.3639335632324,16.3666666666667
"2024-05",15.45,15.2685899734497,22.2166666666667
"2024-06",16.95,21.1096458435059,21.5166666666667
"2024-07",24.725,22.8121757507324,28.8
"2024-08",21.0666666666667,16.8440437316895,25.65
"2024-09",18.7833333333333,16.2290706634521,19.45
"2024-10",20.5,18.5728454589844,12.5
"2024-11",24.55,17.1587600708008,17.2833333333333
"2024-12",22.9333333333333,21.0463752746582,15.2
"2024-13",14.2333333333333,18.2152652740479,12.95
"2024-14",14.74,17.0427379608154,18.1
"2024-15",21.6,17.4531917572021,24.6166666666667
"2024-16",25.8833333333333,25.8371849060059,28.8666666666667
"2024-17",28.1,30.5093936920166,33.6166666666667
"2024-18",37.7166666666667,35.8425598144531,33.3
"2024-19",44.5,29.6839389801025,31.8166666666667
"2024-20",40,36.4549446105957,39.8833333333333
"2024-21",24.6833333333333,36.0204238891602,45.2666666666667
"2024-22",21.45,33.090461730957,36.4666666666667
"2024-23",24.3333333333333,27.6438598632812,42.75
"2024-24",33.5,55.5092582702637,46.95
"2024-25",41,44.3846664428711,52.76
"2024-26",49.4333333333333,46.8174591064453,72.2166666666667
"2024-27",60.2333333333333,44.0086288452148,62.95
"2024-28",52.75,37.9904670715332,58.6333333333333
"2024-29",45.55,45.2502365112305,48.0166666666667
"2024-30",59.3833333333333,42.6568336486816,40.5
"2024-31",105.783333333333,37.6173782348633,47.6166666666667
"2024-32",148,48.9586067199707,69.3833333333333
"2024-33",126.266666666667,84.4002685546875,74.35
"2024-34",72.6,42.3813056945801,75.6333333333333
"2024-35",74.3166666666667,46.4116744995117,67.18
"2024-36",78.6833333333333,52.3086318969727,47.1
"2024-37",72.1285714285714,54.8345031738281,52.25
"2024-38",62.1,42.0253639221191,68.5666666666667
"2024-39",48.9,43.0628356933594,65.76
"2024-40",53.2166666666667,55.2834167480469,54.04
"2024-41",54.7,72.4281158447266,34.8333333333333
"2024-42",49.4,60.0876274108887,42.0333333333333
"2024-43",48.0166666666667,74.5005187988281,40.25
"2024-44",48.1833333333333,34.0472793579102,29.9833333333333
"2024-45",48.05,65.8229904174805,32.5
"2024-46",33.2333333333333,49.5031204223633,19.4
"2024-47",39.1333333333333,30.2417068481445,21.5333333333333
"2024-48",54.2333333333333,27.024320602417,30.1666666666667
"2024-49",43.3833333333333,40.1733169555664,41.8
"2024-50",32.1666666666667,22.9724960327148,37.3333333333333
"2024-51",28.5,22.3527755737305,40.1333333333333
"2024-52",26.1333333333333,21.623363494873,37.8857142857143
"2025-01",26.025,21.7635612487793,30.3333333333333
"2025-02",21.1833333333333,17.9825496673584,23.9166666666667
"2025-03",15.05,22.6907501220703,15.4
"2025-04",20.5857142857143,27.041633605957,16.3666666666667
"2025-05",27.5,18.9147434234619,22.2166666666667
"2025-06",18.85,16.6215057373047,21.5166666666667
"2025-07",18.0333333333333,27.0629901885986,28.8
"2025-08",14.2333333333333,24.5657806396484,25.65
"2025-09",12.6166666666667,24.6603813171387,19.45
"2025-10",12.6166666666667,20.0024108886719,12.5
"2025-11",14.9333333333333,30.0005798339844,17.2833333333333
"2025-12",20.0833333333333,23.9677238464355,15.2
"2025-13",22.7666666666667,17.3551216125488,12.95
"2025-14",31.52,15.8164377212524,18.1
"2025-15",24.3166666666667,17.2280807495117,24.6166666666667
"2025-16",27.2166666666667,17.6843681335449,28.8666666666667
"2025-17",19.7166666666667,26.1229972839355,33.6166666666667
"2025-18",22.4333333333333,22.4727172851562,33.3
